Year,GI
1970,30
1971,27
1972,32.4
1973,36.3
1974,34.8
1975,37.8
1976,43
1977,45.7
1978,53.4
1979,61.4
1980,61.9
1981,67.6
1982,77.3
1983,86.5
1984,94.3
1985,96.9
1986,101.8
1987,102.5
1988,102
1989,100
1990,101.9
1991,98.9
1992,95.1
1993,94.7
1994,88.5
1995,87.6
1996,81.1
1997,78.2
1998,83.8
1999,83.8
2000,85.2
2001,85
2002,86
2003,87
2004,87.3
2005,93
2006,89.9
2007,90.1
2008,91.8
2009,92.2
2010,89.9
2011,90.3
2012,96.3
2013,97.8
2014,102.5
2015,104
2016,105.8
2017,108.3
2018,106.7
2019,109.6
2020,101
